코드,거래금액
50110101,136302.0
50110102,32269.0
50110103,59242.0
50110104,71972.0
50110105,25025.0
50110106,30978.0
50110107,29465.0
50110108,27860.0
50110109,18000.0
50110110,34333.0
50110111,28760.0
50110112,75909.0
50110113,27750.0
50110114,35958.0
50110117,90000.0
50110118,13333.0
50110119,39000.0
50110120,46500.0
50110122,132875.0
50110123,174881.0
50110126,49900.0
50110127,40000.0
50110129,17964.0
50110130,29878.0
50110131,35000.0
50110133,4963.0
50110134,492966.0
50110136,56000.0
50110137,89191.0
50110138,115300.0
50110139,362750.0
50110250,75686.0
50110253,71880.0
50110256,26667.0
50110259,37865.0
50110310,50717.0
50110320,8750.0
50130101,26449.0
50130102,40707.0
50130103,33352.0
50130104,28000.0
50130105,28910.0
50130106,31500.0
50130108,50000.0
50130111,185100.0
50130112,127705.0
50130116,122000.0
50130250,27287.0
50130253,27138.0
50130259,107267.0
50130310,45335.0
50130320,36000.0
