코드,거래금액
5011025023,400000.0
5011025024,29800.0
5011025025,20500.0
5011025028,16250.0
5011025033,19000.0
5011025034,28000.0
5011025321,70000.0
5011025326,148990.0
5011025331,17000.0
5011025333,30000.0
5011025334,137500.0
5011025338,65000.0
5011025340,42000.0
5011025341,69649.0
5011025628,20500.0
5011025630,27500.0
5011025631,53000.0
5011025633,20500.0
5011025634,18000.0
5011025921,28167.0
5011025923,36333.0
5011025924,45686.0
5011025926,11200.0
5011025930,54000.0
5011031021,5300.0
5011031022,72000.0
5011031023,31500.0
5011031024,113000.0
5011031027,51000.0
5011032021,15000.0
5011032025,2500.0
5013025021,24700.0
5013025022,16000.0
5013025023,32799.0
5013025025,28750.0
5013025029,27275.0
5013025327,27138.0
5013025926,231100.0
5013025927,46000.0
5013025928,44700.0
5013031025,44754.0
5013031027,53200.0
5013031028,46000.0
5013032021,29000.0
5013032022,16000.0
5013032023,25000.0
5013032024,35000.0
5013032026,75000.0
